sp name	gender	country	place1	place2	coordinates	col2	col3
spinipenne	1 ♀	Peru	Huánuco Region, Leoncio Prado Province	Tingo Maria [-9.29, -76.01]	670m		CMN
spinipenne	1 ♂, 2 ♀	Peru	Huánuco Region, Leoncio Prado Province	Tingo Maria [-9.29, -76.01]		VII.2011	MSPC
spinipenne	3 ♂, 5 ♀	Peru	Huánuco Region, Leoncio Prado Province	Tingo Maria, Las Cuevas de las Pavas [-9.378, -75.968]		III.2011	MSPC
spinipenne	1 ♀	Peru	Huánuco Region, Leoncio Prado Province	Tingo Maria, Rio Huallaga [-9.325, -75.997]	700m	X.1946	NHMB
spinipenne	1 ♀	Peru	Huánuco Region, Leoncio Prado Province	Tingo Maria, Tourista Hotel [-9.29, -76.01]	762m	11.-17.IV.1987	FSCA
spinipenne	2 ♀	Peru	Huánuco Region, Puerto Inca Province	ACP Panguana, Rio Yuyapichis, -9.600000, -74.933333	230m	IX.-X.2013	MSPC
spinipenne	1 ♀	Peru	Huánuco Region, Puerto Inca Province	Pachitea River, Tournavista [-8.932, -74.705]		09.VII.1954	FMNH
spinipenne	1 ♂	Peru	Huánuco Region, Puerto Inca Province	Panguana [-9.600, -74.933]		X.1988	SMNS
spinipenne	1 ♀	Peru	Huánuco Region, Puerto Inca Province	Panguana [-9.600, -74.933]		VII.1978	MSPC
spinipenne	2 ♂, 13 ♀	Peru	Madre De Dios Region, Tambopata Province	Avispas [-12.985, -70.347]		IX.1962	NHMB
spinipenne	2 ♂	Peru	Madre De Dios Region, Tambopata Province	Avispas [-12.985, -70.347]		IX.1962	MHNL
spinipenne	1 ♂, 2 ♀	Peru	Madre De Dios Region, Tambopata Province	Avispas [-12.985, -70.347]		IX.1962	ZSM
spinipenne	1 ♀	Peru	Madre De Dios Region, Manú Province	Cocha Cashu Biological Station, -11.888, -71.408	350m	18.X.2000	FSCA
spinipenne	2 ♀	Peru	Madre de Dios Region	Madre de Dios			ZMHB
spinipenne	1 ♀	Peru	Madre De Dios Region, Manú Province	Mascoitania [-12.041, -71.723]		10.-12.IX.1937	SMNS
spinipenne	1 ♀	Peru	Madre De Dios Region	Salvacion, Rio Alto de Madre de Dios, Manu Park [-12.837, -71.356]	500m	III.1997	MSPC
spinipenne	1 ♀	Peru	Madre De Dios Region, Tambopata Province	ZR. Tambopata-Cadamo, vic. Explorer´s Inn, -12.85, -69.3	250m	12-.16.XI,1997	SMNS
spinipenne	1 ♂	Peru	Pasco Region, Oxapampa Province	Chuchurras [-10.090, -75.185]			BMNH
spinipenne	1 ♀	Peru	Pasco Region, Oxapampa Province	Chuchurras [-10.090, -75.185]			ZMHB
spinipenne	1 ♂	Peru	Pasco Region, Oxapampa Province	Pozuzo [-10.067, -75.552]			ZMHB
spinipenne	1 ♀	Peru	Ucayali Region, Padre Abad Province	[El] Boqueron del Padre Abad [-9.056, -75.635]	470m	20.VIII.1946	MLJC
spinipenne	3 ♀	Peru	Ucayali Region, Padre Abad Province	[El] Boqueron del Padre Abad [-9.056, -75.635]	470m	19.-26.VIII.1946	AMNH
spinipenne	1 ♀	Peru	impossible to restrict to one region				ZMHB
spinipenne	1♂, 1 ♀	Peru	impossible to restrict to one region	Huallaga		VIII.1961	USNM
spinipenne	3 ♂, 2 ♀	Peru	impossible to restrict to one region	Huallaga, Rio Aguaytia		VIII.1961	CMN
spinipenne	1 ♀	Peru	impossible to restrict to one region	Loromayo, Inambari river		XI.1962	ZSM
spinipenne	2 ♀	Peru	impossible to restrict to one region	Middle Rio Ucayali		01.VII.1923	AMNH
spinipenne	1 ♀	Peru	impossible to restrict to one region	Rio Pachitea		15.VII.1928	AMNH
spinipenne	1 ♀	Peru	impossible to restrict to one region	Rio Pachitea		IX.1937	IRSNB
spinipenne	1 ♀	Peru	impossible to restrict to one region	Rio Santiago		02.VII.1928	AMNH
spinipenne	2 ♀	Peru	impossible to restrict to one region	Upper Rio Maranon		VII.1924	AMNH

